index,Messprogramm,n_soll,n,M_soll,M,Strom_Effektivwert_soll,I,Stromwinkel_soll,phi,id_soll,id,iq_soll,iq,U,Pmech,Pauf,eta,Temperatur,I_R_mess,U_R_mess,R
373,1.0,500.0,502.0857849121094,0.0,21.344520568847656,14.0,14.579119682312012,80.0,79.98992156982422,3.4380548000335693,3.440990924835205,19.498199462890625,19.49479103088379,116.36219787597656,1122.2579345703125,1424.6419677734375,0.7877463698387146,47.370399475097656,0.002830561948940158,188.17379760742188,0.0
374,1.0,500.0,502.144775390625,0.0,17.154640197753906,14.0,14.583661079406738,82.0,81.99644470214844,2.7554845809936523,2.7584476470947266,19.606307983398438,19.618568420410156,111.04020690917969,902.0667724609375,1204.0899658203125,0.7491689920425415,47.48067855834961,0.0028345920145511627,177.94180297851562,0.0
375,1.0,500.0,501.9972229003906,0.0,12.74705982208252,14.0,14.588800430297852,84.0,84.10486602783203,2.0695571899414062,2.0315568447113037,19.690528869628906,19.675342559814453,105.4374008178711,670.1005859375,970.72021484375,0.6903129816055298,47.60778045654297,0.0028348243795335293,167.18679809570312,0.0
376,1.0,500.0,501.8204040527344,0.0,8.109245300292969,14.0,14.594019889831543,86.0,86.0301742553711,1.3811038732528687,1.371281385421753,19.750761032104492,19.759836196899414,99.9661865234375,426.14501953125,727.0557861328125,0.5861244201660156,47.703182220458984,0.0028505241498351097,156.3743896484375,0.0
377,1.0,500.0,501.67254638671875,0.0,3.2848758697509766,14.0,14.598800659179688,88.0,88.13014221191406,0.6909723877906799,0.6470000743865967,19.786930084228516,19.81825828552246,95.39366149902344,172.57119750976562,475.21002197265625,0.3631455898284912,47.78983688354492,0.002854404039680958,147.11898803710938,0.0
378,1.0,500.0,501.672607421875,0.0,-1.5865581035614014,14.0,14.604578971862793,90.0,-89.84156036376953,-3.225665068384842e-06,-0.05479254201054573,19.79899024963379,19.815448760986328,92.1635971069336,-83.34980010986328,218.9958038330078,-0.3806077837944031,47.87852096557617,0.0028844699263572693,139.61178588867188,0.0
379,1.0,500.0,501.7315979003906,0.0,-0.3243698179721832,15.0,15.642580032348633,0.0,0.21778959035873413,21.21320343017578,21.174087524414062,0.0,0.08048618584871292,166.3802032470703,-17.0427188873291,383.0428161621094,-0.04449211806058884,47.975921630859375,0.0028626720886677504,283.90863037109375,0.0
380,1.0,500.0,502.61639404296875,0.0,39.34706115722656,15.0,15.599980354309082,40.0,39.99387741088867,16.250255584716797,16.276100158691406,13.63558578491211,13.654308319091797,162.92919921875,2070.989990234375,2442.55419921875,0.8478773832321167,41.57188034057617,0.0028365321923047304,278.0116271972656,0.0
381,1.0,500.0,502.32159423828125,0.0,40.847862243652344,15.0,15.597900390625,42.0,42.096282958984375,15.764482498168945,15.756875038146973,14.194403648376465,14.235575675964355,162.55081176757812,2148.72216796875,2522.637939453125,0.8517759442329407,41.82767868041992,0.0028368800412863493,277.0610046386719,0.0
382,1.0,500.0,502.61639404296875,0.0,42.30672073364258,15.0,15.596559524536133,44.0,44.06281280517578,15.259499549865723,15.230567932128906,14.735929489135742,14.740293502807617,162.01101684570312,2226.76220703125,2596.39208984375,0.8576360940933228,42.61266326904297,0.0028359319549053907,276.1597900390625,0.0
383,1.0,500.0,502.67559814453125,0.0,43.60249710083008,15.0,15.5955810546875,46.0,45.968135833740234,14.73592758178711,14.745013236999512,15.259502410888672,15.251928329467773,161.48519897460938,2295.239990234375,2664.537841796875,0.8614022135734558,43.1256217956543,0.002830224111676216,275.5068054199219,0.0
384,1.0,500.0,502.5279846191406,0.0,44.79158020019531,15.0,15.594160079956055,48.0,47.99517822265625,14.194402694702148,14.18578815460205,15.764483451843262,15.752249717712402,160.78500366210938,2357.14013671875,2726.72021484375,0.8644593954086304,43.71562194824219,0.002825483912602067,273.7164001464844,0.0
385,1.0,500.0,501.3780212402344,0.0,45.84788131713867,15.0,15.592979431152344,50.0,49.95118713378906,13.635581970214844,13.635497093200684,16.25025749206543,16.222068786621094,160.164794921875,2407.2060546875,2780.986083984375,0.8655946850776672,44.41518020629883,0.00282757799141109,272.50042724609375,0.0
386,1.0,500.0,501.7317810058594,0.0,46.7613410949707,15.0,15.593060493469238,52.0,52.07025146484375,13.060150146484375,13.049080848693848,16.71623420715332,16.744342803955078,159.2873992919922,2456.90185546875,2827.3359375,0.8689810037612915,44.7729377746582,0.0028180039953440428,271.6338195800781,0.0
387,1.0,500.0,501.46636962890625,0.0,47.4638786315918,15.0,15.591920852661133,54.0,53.95770263671875,12.468805313110352,12.47943115234375,17.16184425354004,17.149829864501953,158.26458740234375,2492.489990234375,2864.035888671875,0.870272159576416,45.20859909057617,0.0028196938801556826,268.77679443359375,0.0
388,1.0,500.0,501.6431579589844,0.0,47.98152160644531,15.0,15.592039108276367,56.0,56.050811767578125,11.862271308898926,11.839507102966309,17.586544036865234,17.586416244506836,157.18978881835938,2520.56201171875,2889.97802734375,0.872173011302948,45.69114303588867,0.002814415842294693,267.00201416015625,0.0
389,1.0,500.0,503.177001953125,0.0,48.284019470214844,15.0,15.592379570007324,58.0,57.860145568847656,11.24128246307373,11.273591995239258,17.989818572998047,17.94390869140625,156.05580139160156,2544.210205078125,2903.24609375,0.8763311505317688,45.98868179321289,0.0028146039694547653,264.1521911621094,0.0
390,1.0,500.0,502.38055419921875,0.0,48.274784088134766,15.0,15.592660903930664,60.0,60.04644012451172,10.606600761413574,10.606558799743652,18.371173858642578,18.405542373657227,154.58380126953125,2539.697998046875,2902.765869140625,0.874923825263977,46.371517181396484,0.002813020022585988,262.1515808105469,0.0
391,1.0,500.0,502.3511657714844,0.0,47.98320007324219,15.0,15.592999458312988,62.0,61.986576080322266,9.95899486541748,9.95080852508545,18.730148315429688,18.70418357849121,152.8822021484375,2524.203857421875,2883.174072265625,0.8754953145980835,46.79785919189453,0.002817281987518072,258.60418701171875,0.0
392,1.0,500.0,502.5279846191406,0.0,47.226898193359375,15.0,15.594380378723145,64.0,64.1094970703125,9.299254417419434,9.256014823913574,19.066303253173828,19.070058822631836,150.93141174316406,2485.2958984375,2843.18408203125,0.8741242289543152,47.0489616394043,0.002825109986588359,254.6627960205078,0.0
