index,n,M,Pmech,I,U,Pauf,eta,Temperatur,I_R_mess,U_R_mess
0,100.5837173461914,7.864705562591553,82.84037780761719,5.292044639587402,75.30108642578125,127.13740539550781,0.6515809297561646,52.12943649291992,0.003233791096135974,97.81021118164062
1,0.0,-0.10504200309515,0.0,0.0002037056692643091,0.0,0.0,9.909999530030929e+37,51.59953308105469,0.0,0.0
2,100.97447204589844,13.615124702453613,143.96815490722656,6.9898786544799805,79.79430389404297,216.1699981689453,0.6659870147705078,52.10039138793945,0.0032259461004287004,110.372802734375
3,0.0,-0.09103643149137497,0.0,0.0002041683328570798,0.0,0.0,9.909999530030929e+37,51.668731689453125,0.0,0.0
4,101.02600860595703,18.689929962158203,197.73094177246094,8.333581924438477,82.95011138916016,297.62786865234375,0.664347767829895,52.53477096557617,0.0032468712888658047,119.6464614868164
5,0.0,-0.09663870185613632,0.0,0.0002043543354375288,0.0,0.0,9.909999530030929e+37,52.16493225097656,0.0,0.0
6,101.16613006591797,23.388019561767578,247.7786407470703,9.518624305725098,84.82994079589844,375.1647033691406,0.6604446172714233,52.5283088684082,0.0032751946710050106,123.91413879394531
7,0.0,-0.09383756667375565,0.0,0.0002032676711678505,0.0,0.0,9.909999530030929e+37,52.2253303527832,0.0,0.0
8,101.31355285644531,28.166589736938477,298.83795166015625,10.65726375579834,86.16202545166016,455.5782775878906,0.6559497117996216,52.86248016357422,0.0033025648444890976,127.4234390258789
9,0.0,-0.0882352963089943,0.0,0.00020382633374538273,0.0,0.0,9.909999530030929e+37,52.61973571777344,0.0,0.0
10,101.20289611816406,32.59895706176758,345.4903564453125,11.742589950561523,87.43242645263672,534.3024291992188,0.6466113328933716,52.114463806152344,0.003347021294757724,130.45645141601562
11,0.0,-0.1008400022983551,0.0,0.0002035896759480238,0.0,0.0,9.909999530030929e+37,51.89280319213867,0.0,0.0
12,200.94627380371094,7.8268914222717285,164.7014923095703,5.289437294006348,87.77601623535156,213.1045684814453,0.7728680372238159,52.580528259277344,0.0032313379924744368,129.75595092773438
13,0.0,-0.1008400022983551,0.0,0.00020352799037937075,0.0,0.0,9.909999530030929e+37,52.18572998046875,0.0,0.0
14,201.15269470214844,13.560060501098633,285.6385498046875,6.9872260093688965,94.76091003417969,363.00213623046875,0.7868786454200745,52.7953987121582,0.003219042671844363,145.74575805664062
15,0.0,-0.10504200309515,0.0,0.00020458635117392987,0.0,0.0,9.909999530030929e+37,52.42073440551758,0.0,0.0
16,201.34429931640625,18.8071231842041,396.54425048828125,8.372170448303223,98.76872253417969,503.0552673339844,0.7882717847824097,53.082664489746094,0.0032408430706709623,154.51535034179688
17,0.0,-0.10504200309515,0.0,0.00020403000235091895,0.0,0.0,9.909999530030929e+37,52.791534423828125,0.0,0.0
18,201.4180908203125,23.563228607177734,497.0069885253906,9.55506706237793,101.97940063476562,631.3029174804688,0.7872714400291443,52.20734405517578,0.0032828475814312696,161.47824096679688
19,0.0,-0.09663870185613632,0.0,0.00020403000235091895,0.0,0.0,9.909999530030929e+37,51.89189529418945,0.0,0.0
20,201.4770050048828,28.02310562133789,591.25,10.6514253616333,104.09859466552734,755.7098388671875,0.7823771834373474,53.144004821777344,0.0032958772499114275,166.0929412841797
21,0.0,-0.09523812681436539,0.0,0.00020465331908781081,0.0,0.0,9.909999530030929e+37,52.95539855957031,0.0,0.0
22,201.51394653320312,32.50083541870117,685.8517456054688,11.736974716186523,105.69828796386719,881.5924682617188,0.7779682278633118,52.5063362121582,0.003338729962706566,169.4720001220703
23,0.0,-0.1036413311958313,0.0,0.00020477267389651388,0.0,0.0,9.909999530030929e+37,52.2849006652832,0.0,0.0
