index,n,M,Pmech,I,U,Pauf,eta,Temperatur,I_R_mess,U_R_mess
0,101.07756805419922,7.893276214599609,83.55046081542969,5.2914204597473145,75.86076354980469,127.81854248046875,0.653660774230957,51.9124870300293,0.0032727480866014957,98.94273376464844
1,101.54935455322266,13.651043891906738,145.16725158691406,6.988587379455566,80.25425720214844,217.0389404296875,0.6688504219055176,51.3532600402832,0.0032698563300073147,110.9789047241211
2,101.66731262207031,18.737611770629883,199.4929962158203,8.33112907409668,83.42884063720703,298.78179931640625,0.6676822900772095,50.87018585205078,0.003286518855020404,119.87260437011719
3,102.02835845947266,23.414714813232422,250.17391967773438,9.518075942993164,85.38170623779297,376.7454528808594,0.664034366607666,50.553558349609375,0.0033122263848781586,124.4749526977539
4,102.36009979248047,28.185510635375977,302.1357727050781,10.656475067138672,86.64863586425781,457.51849365234375,0.6603668332099915,50.354793548583984,0.003343143267557025,127.68424987792969
5,102.50022888183594,32.66407775878906,350.6168518066406,11.740569114685059,87.86871337890625,537.37939453125,0.6524497270584106,50.337257385253906,0.003376114647835493,130.83534240722656
6,201.24119567871094,7.85105037689209,165.45204162597656,5.2885355949401855,88.19538879394531,213.76931762695312,0.773974597454071,50.274078369140625,0.0032627233304083347,130.37908935546875
7,201.59487915039062,13.590954780578613,286.91876220703125,6.987678527832031,95.26219177246094,363.77490234375,0.7887259721755981,49.910316467285156,0.0032575770746916533,146.7270050048828
8,201.81619262695312,18.85169219970703,398.41400146484375,8.371736526489258,99.10863494873047,503.61444091796875,0.791109025478363,49.63429641723633,0.003282577497884631,155.08041381835938
9,202.0961456298828,23.615549087524414,499.7872009277344,9.554084777832031,102.2905502319336,632.6873779296875,0.7899435758590698,49.48151397705078,0.0033152203541249037,161.79055786132812
10,202.26571655273438,28.075214385986328,594.6674194335938,10.651724815368652,104.5608139038086,756.6343994140625,0.7859376668930054,49.459571838378906,0.0033483263105154037,166.67454528808594
11,202.32479858398438,32.54411697387695,689.5265502929688,11.735895156860352,106.05206298828125,883.5060424804688,0.780443549156189,49.572872161865234,0.0033735050819814205,169.9976043701172
12,301.5299987792969,7.8161773681640625,246.8050079345703,5.332849025726318,98.12566375732422,300.1038513183594,0.8223985433578491,49.63978958129883,0.003260702360421419,152.17568969726562
13,301.78790283203125,13.562583923339844,428.6214294433594,7.031137943267822,107.4822998046875,512.887451171875,0.8357027769088745,49.382240295410156,0.0032590776681900024,171.83169555664062
14,302.2154235839844,18.802919387817383,595.073486328125,8.376713752746582,113.75114440917969,708.2474365234375,0.8402056694030762,49.17285919189453,0.0032812468707561493,184.55450439453125
15,302.22283935546875,23.599552154541016,746.8963012695312,9.561941146850586,117.7686538696289,889.1204833984375,0.8400392532348633,49.06743621826172,0.003313086461275816,192.68093872070312
16,302.679931640625,28.005456924438477,887.6779174804688,10.64719009399414,120.805908203125,1058.949462890625,0.8382627367973328,49.06856155395508,0.003339917166158557,198.89071655273438
17,302.73895263671875,32.45294952392578,1028.846923828125,11.727620124816895,122.48799896240234,1232.4140625,0.834822952747345,49.23502731323242,0.0033710994757711887,202.30514526367188
18,401.80413818359375,7.806931495666504,328.4906921386719,5.379258155822754,107.12886047363281,386.6704406738281,0.8495373725891113,49.29655456542969,0.0032550636678934097,170.78089904785156
19,402.2243347167969,13.589899063110352,572.41845703125,7.076437950134277,118.447998046875,663.415771484375,0.8628354072570801,49.08556365966797,0.0032558045350015163,193.04782104492188
20,402.53387451171875,18.907581329345703,797.0152587890625,8.462238311767578,125.2403564453125,919.986328125,0.866334080696106,48.85173416137695,0.0032828846015036106,206.32589721679688
21,402.5929260253906,23.760921478271484,1001.7468872070312,9.643484115600586,130.25424194335938,1156.20751953125,0.8664081692695618,48.78948211669922,0.003309034975245595,216.20608520507812
22,402.84356689453125,28.257556915283203,1192.0640869140625,10.726454734802246,133.86105346679688,1377.2310791015625,0.8655505180358887,48.87511444091797,0.003335859626531601,223.4743194580078
23,403.0204772949219,32.570369720458984,1374.607421875,11.771169662475586,136.3885498046875,1592.071533203125,0.8634079694747925,48.966224670410156,0.0033664691727608442,228.32003784179688
24,502.387939453125,7.771639347076416,408.86444091796875,5.426586151123047,115.2330551147461,473.53338623046875,0.8634328842163086,49.084228515625,0.0032373680733144283,186.83462524414062
25,502.6385803222656,13.55565071105957,713.5186157226562,7.1226301193237305,128.3822021484375,813.6959228515625,0.8768861889839172,48.8404655456543,0.0032500172965228558,212.03518676757812
26,502.46893310546875,18.9021053314209,994.5964965820312,8.508007049560547,136.35098266601562,1129.093017578125,0.8808810114860535,48.631832122802734,0.0032781853806227446,226.86691284179688
27,502.40997314453125,23.823505401611328,1253.407470703125,9.700775146484375,141.9527587890625,1420.4754638671875,0.8823856115341187,48.5260124206543,0.0033056449610739946,237.5218505859375
28,503.19140625,28.36846351623535,1494.8480224609375,10.784890174865723,145.99209594726562,1692.299072265625,0.8833244442939758,48.58491134643555,0.0033325660042464733,245.6107940673828
29,503.4862365722656,32.68299102783203,1723.212158203125,11.815580368041992,149.02439880371094,1952.394287109375,0.882614016532898,48.71526336669922,0.0033624903298914433,251.41683959960938
30,602.9642333984375,7.7565131187438965,489.7635803222656,5.473921775817871,122.75858306884766,560.4674682617188,0.8738483190536499,48.7946662902832,0.0032302127219736576,201.18910217285156
31,603.1190185546875,13.57140064239502,857.1511840820312,7.21613073348999,136.55032348632812,965.2415771484375,0.8880172967910767,48.54645919799805,0.003248654305934906,227.0040740966797
